epoch,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_precision_weighted,train_recall_weighted,train_f1_weighted,train_loss,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,validation_precision_weighted,validation_recall_weighted,validation_f1_weighted,validation_loss
1,0.4467,0.4021,0.4015,0.4006,0.4358,0.4467,0.4401,1.097671,0.6275,0.4414,0.5044,0.452,0.5599,0.6275,0.568,0.963774
2,0.5863,0.5451,0.5394,0.5376,0.5857,0.5863,0.5816,0.969697,0.6117,0.5263,0.5175,0.5132,0.5874,0.6117,0.5945,0.947156
3,0.6417,0.6122,0.6073,0.6084,0.6439,0.6417,0.6415,0.872723,0.6117,0.6035,0.6227,0.5915,0.6719,0.6117,0.6267,0.868662
4,0.6919,0.6709,0.6838,0.6748,0.7003,0.6919,0.6943,0.757786,0.6456,0.5886,0.5844,0.5843,0.6399,0.6456,0.6402,0.912876
5,0.7416,0.7225,0.7367,0.7276,0.7486,0.7416,0.7437,0.668076,0.6637,0.6393,0.6694,0.639,0.7001,0.6637,0.6724,0.872383
6,0.7741,0.7543,0.767,0.7592,0.7796,0.7741,0.7758,0.616366,0.6388,0.6153,0.6557,0.6146,0.6639,0.6388,0.6361,0.927394
7,0.8201,0.8031,0.8118,0.8069,0.8221,0.8201,0.8207,0.541451,0.6772,0.6475,0.676,0.6516,0.6931,0.6772,0.6778,1.009447
8,0.8468,0.8332,0.8405,0.8365,0.8477,0.8468,0.847,0.494047,0.6885,0.6601,0.6801,0.6665,0.6938,0.6885,0.6884,1.087
9,0.8713,0.8597,0.8663,0.8627,0.8721,0.8713,0.8716,0.438094,0.7065,0.6756,0.6845,0.6796,0.7096,0.7065,0.7078,1.106571
10,0.8902,0.8809,0.8865,0.8835,0.8908,0.8902,0.8904,0.388411,0.6998,0.6697,0.6705,0.67,0.7016,0.6998,0.7005,1.180748
